metric,n_windows,mean,std,min,median,max
elapsed_s,52,26.513211538461533,15.154794110214809,1.013,26.513,52.013
clients,52,1.0,0.0,1.0,1.0,1.0
scans_total,52,247.6153846153846,152.14803857107603,0.0,248.0,503.0
scans_in_window,52,9.673076923076923,2.8678143200630988,0.0,10.0,21.0
scan_rate_hz,52,9.672884615384616,2.8662972880160362,0.0,10.0,20.98
drspaam_fps,49,22.926326530612243,2.5961098251980395,5.69,23.11,27.25
t_det_ms_mean,49,45.95328571428571,18.989690034990037,36.893,43.533,175.958
t_det_ms_p95,49,60.14104081632653,106.89291479423053,41.714,44.925,793.075
t_det_ms_max,49,74.156,201.2320948080433,42.409,45.14,1453.989
t_track_ms_mean,49,0.7616122448979591,0.07392784103618953,0.661,0.745,0.99
t_track_ms_p95,49,0.910938775510204,0.17604597034146902,0.712,0.863,1.5
t_track_ms_max,49,0.9534489795918366,0.21981631168854085,0.714,0.891,1.826
t_lat_ms_mean,49,47.24069387755101,19.00216091133242,38.142,44.778,177.328
t_lat_ms_p95,49,61.48220408163266,106.97306697209262,42.967,46.212,794.966
t_lat_ms_max,49,75.4993469387755,201.3527857755254,43.81,46.501,1456.16
t_scan_ms_mean,49,99.84253061224491,0.7319543787593829,95.574,99.887,100.837
t_scan_ms_p95,49,101.70648979591836,1.2483819047479188,100.454,101.308,108.458
t_scan_ms_max,49,102.03438775510203,1.4660702122841651,100.491,101.5,108.767
t_fwd_ms_mean,49,26.596428571428575,18.965552566868876,22.94,23.933,156.639
t_fwd_ms_p95,49,48.85936734693878,173.9954428376758,23.062,24.019,1241.97
t_fwd_ms_max,49,52.50389795918369,199.5062633471947,23.068,24.019,1420.546
inference_ms_mean,49,45.68210204081633,18.982685874506906,36.693,43.271,175.644
inference_ms_p95,49,59.82724489795919,106.80953277086479,41.472,44.617,792.192
inference_ms_max,49,73.80857142857143,201.03648030964845,42.146,44.868,1452.303
wire_ms_mean,49,142.9154693877551,191.99024263944833,105.077,108.074,1387.541
wire_ms_p95,49,163.09844897959184,263.89434675761345,106.669,110.913,1697.354
wire_ms_max,49,165.68932653061222,271.2027532325053,106.975,111.073,1718.257
gpu_util_percent,52,23.576923076923077,7.07202762018316,0.0,24.0,49.0
drspaam_gpu_duty_percent,49,47.22204081632653,24.339244799602266,41.82,43.29,210.75
gpu_mem_util_percent,52,19.884615384615383,6.311066676423922,0.0,20.0,45.0
gpu_mem_used_mb,52,560.5615384615384,20.608356898533064,471.6,565.6,565.6
gpu_mem_total_mb,52,4096.0,0.0,4096.0,4096.0,4096.0
gpu_proc_mem_mb,52,214.96153846153845,20.60835689853306,126.0,220.0,220.0
torch_alloc_mb,52,26.971153846153847,3.3689665919144844,7.6,27.7,29.8
torch_reserved_mb,52,121.92307692307692,16.63901174696188,54.0,126.0,126.0
torch_peak_mb,52,1090.242307692308,212.3401048689263,38.8,1132.3,1132.3
gpu_power_w,52,17.973846153846157,2.024219194755422,12.48,17.96,28.83
gpu_temp_c,52,71.0576923076923,0.978463411971607,68.0,71.0,72.0
gpu_sm_clock_mhz,52,1583.6538461538462,35.315321684806406,1575.0,1575.0,1725.0
cpu_percent_system,52,9.015384615384615,3.6190879912467064,2.8,7.65,18.7
cpu_percent_process,52,50.01346153846154,16.588420587467844,4.9,48.0,132.9
proc_threads,52,90.59615384615384,1.6480483452909658,84.0,91.0,91.0
ram_used_mb,52,8609.371153846154,127.95773863691831,8360.4,8546.849999999999,8947.3
ram_total_mb,52,15708.199999999995,5.510208185631941e-12,15708.2,15708.2,15708.2
ram_percent,52,54.809615384615384,0.8167990165788414,53.2,54.4,57.0
proc_rss_mb,52,1178.9923076923076,83.09404274476105,753.2,1198.4,1200.2
swap_used_mb,52,0.0,0.0,0.0,0.0,0.0
swap_total_mb,52,4352.0,0.0,4352.0,4352.0,4352.0
swap_percent,52,0.0,0.0,0.0,0.0,0.0
