wall_time,elapsed_s,publishers,scans_total,scans_in_window,scan_rate_hz,drspaam_fps,t_det_ms_mean,t_det_ms_p95,t_det_ms_max,t_track_ms_mean,t_track_ms_p95,t_track_ms_max,t_lat_ms_mean,t_lat_ms_p95,t_lat_ms_max,t_scan_ms_mean,t_scan_ms_p95,t_scan_ms_max,t_fwd_ms_mean,t_fwd_ms_p95,t_fwd_ms_max,inference_ms_mean,inference_ms_p95,inference_ms_max,missed_percent,jitter_ms,wire_ms_mean,wire_ms_p95,wire_ms_max,busy_drop_in_window,gpu_util_percent,drspaam_gpu_duty_percent,gpu_mem_util_percent,gpu_mem_used_mb,gpu_mem_total_mb,gpu_proc_mem_mb,torch_alloc_mb,torch_reserved_mb,torch_peak_mb,gpu_power_w,gpu_temp_c,gpu_sm_clock_mhz,cpu_percent_system,cpu_percent_process,proc_threads,ram_used_mb,ram_total_mb,ram_percent,proc_rss_mb,swap_used_mb,swap_total_mb,swap_percent
2026-09-04T15:28:06.002,1.037,1,0,0,0.0,,,,,,,,,,,,,,,,,,,,0.0,7.0,169.547,303.389,334.219,6,1.0,,1.0,458.9,4096.0,114.0,21.7,30.0,38.8,11.18,63.0,1575.0,12.4,58.8,66,6850.3,15708.2,43.6,949.8,0.0,4352.0,0.0
2026-09-04T15:28:07.002,2.037,1,0,0,0.0,,,,,,,,,,,,,,,,,,,,0.0,8.63,113.513,131.178,139.749,10,0.0,,0.0,460.9,4096.0,116.0,14.9,30.0,891.2,14.39,64.0,1575.0,15.5,105.0,66,6991.1,15708.2,44.5,1099.2,0.0,4352.0,0.0
2026-09-04T15:28:08.002,3.037,1,1,1,1.0,0.64,1558.261,1558.261,1558.261,1.042,1.042,1.042,1561.663,1561.663,1561.663,,,,1532.977,1532.977,1532.977,1554.101,1554.101,1554.101,0.0,9.02,112.082,130.111,144.78,9,2.0,155.43,1.0,536.9,4096.0,192.0,35.3,98.0,891.2,12.61,64.0,1575.0,16.0,139.0,73,7111.2,15708.2,45.3,1220.3,0.0,4352.0,0.0
2026-09-04T15:28:09.002,4.037,1,5,4,4.0,2.82,355.044,1059.674,1222.578,1.044,1.319,1.363,400.485,1147.313,1321.818,797.632,1632.088,1690.989,343.943,1211.06,1211.06,354.86,1059.482,1222.376,0.0,7.11,109.568,118.294,123.785,6,25.0,141.95,25.0,544.9,4096.0,200.0,66.3,106.0,897.3,14.98,64.0,1620.0,12.3,127.0,73,7115.6,15708.2,45.3,1221.5,0.0,4352.0,0.0
2026-09-04T15:28:10.004,5.039,1,6,1,1.0,0.96,1039.272,1039.272,1039.272,0.668,0.668,0.668,1042.764,1042.764,1042.764,100.528,100.528,100.528,1027.836,1027.836,1027.836,1038.603,1038.603,1038.603,0.0,10.0,113.187,130.679,137.093,9,11.0,103.67,11.0,522.9,4096.0,178.0,52.2,84.0,905.6,15.16,64.0,1620.0,13.0,135.7,73,7106.9,15708.2,45.2,1221.9,0.0,4352.0,0.0
2026-09-04T15:28:11.003,6.037,1,11,5,5.01,4.15,241.249,855.87,1060.63,0.953,1.042,1.043,258.223,896.205,1103.953,477.99,1074.923,1093.483,228.612,1050.592,1050.592,240.846,855.695,1060.489,0.0,7.18,107.692,110.963,111.552,7,22.0,120.62,18.0,536.9,4096.0,192.0,23.8,98.0,905.6,15.09,64.0,1575.0,21.3,245.3,73,7112.2,15708.2,45.3,1222.1,0.0,4352.0,0.0
2026-09-04T15:28:12.002,7.037,1,21,10,10.0,28.85,35.346,44.128,47.365,0.854,1.099,1.13,38.253,48.392,52.245,101.1,103.469,103.539,22.432,32.729,32.729,34.661,41.774,46.098,0.0,6.39,111.837,124.594,125.205,0,22.0,34.66,18.0,568.9,4096.0,224.0,23.8,130.0,905.6,14.85,64.0,1575.0,24.1,184.1,73,7095.1,15708.2,45.2,1222.1,0.0,4352.0,0.0
2026-09-04T15:28:13.002,8.037,1,31,10,10.0,29.26,34.82,38.357,38.535,0.825,1.115,1.123,37.749,42.383,42.602,99.533,101.294,101.602,22.12,23.785,23.785,34.179,38.082,38.294,0.0,9.45,114.633,134.412,141.952,0,22.0,34.18,18.0,568.9,4096.0,224.0,23.9,130.0,905.6,14.85,65.0,1575.0,22.5,253.0,73,7061.5,15708.2,45.0,1222.2,0.0,4352.0,0.0
2026-09-04T15:28:14.002,9.037,1,38,7,7.0,29.73,34.142,37.662,37.812,0.778,0.87,0.89,36.836,40.786,40.944,99.7,101.242,101.266,21.872,24.782,24.782,33.641,37.012,37.069,0.0,5.74,109.153,111.779,111.971,1,0.0,23.55,0.0,546.9,4096.0,202.0,71.1,108.0,905.6,14.52,65.0,1575.0,15.2,201.1,73,7058.4,15708.2,44.9,1222.4,0.0,4352.0,0.0
2026-09-04T15:28:15.004,10.039,1,40,2,2.0,1.83,546.844,1007.931,1059.162,0.743,0.886,0.902,579.78,1013.994,1062.24,551.073,955.847,1000.822,534.038,1045.029,1045.029,546.275,1007.662,1058.927,0.0,5.97,110.616,120.449,128.284,8,20.0,109.07,14.0,482.9,4096.0,138.0,37.9,44.0,905.6,14.57,65.0,1575.0,14.2,167.7,73,7050.4,15708.2,44.9,1222.6,0.0,4352.0,0.0
